"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"klgateway-ltt-care-plan","CarePlan.activity.reference","CarePlan.activity.reference","","","",0,0,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Appointment], CanonicalType[http://hl7.org/fhir/StructureDefinition/CommunicationRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder], CanonicalType[http://hl7.org/fhir/StructureDefinition/Task], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/VisionPrescription], CanonicalType[http://hl7.org/fhir/StructureDefinition/RequestGroup]]}
","Activity details defined in specific resource","The details of the proposed activity represented in a specific resource.","Standard extension exists ([resource-pertainsToGoal](http://hl7.org/fhir/R4/extension-resource-pertainstogoal.html)) that allows goals to be referenced from any of the referenced resources in CarePlan.activity.reference.  The goal should be visible when the resource referenced by CarePlan.activity.reference is viewed independently from the CarePlan.  Requests that are pointed to by a CarePlan using this element should *not* point to this CarePlan using the ""basedOn"" element.  i.e. Requests that are part of a CarePlan are not ""based on"" the CarePlan.","Details in a form consistent with other applications and contexts of use.","","","","","","","",,,,,"",,,,"CarePlan.activity.reference",0,1,"cpl-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"klgateway-ltt-care-plan","CarePlan.activity.detail","CarePlan.activity.detail","","","",1,1,"","","","BackboneElement {[]} {[]}
","In-line definition of activity","A simple summary of a planned activity suitable for a general care plan system (e.g. form driven) that doesn't know about specific resources such as procedure etc.","","Details in a simple form for generic care plan systems.","","","","","","","",,,,,"",,,,"CarePlan.activity.detail",0,1,"cpl-3
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"klgateway-ltt-care-plan","CarePlan.activity.detail.id","CarePlan.activity.detail.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"klgateway-ltt-care-plan","CarePlan.activity.detail.extension","CarePlan.activity.detail.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"klgateway-ltt-care-plan","CarePlan.activity.detail.modifierExtension","CarePlan.activity.detail.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"klgateway-ltt-care-plan","CarePlan.activity.detail.kind","CarePlan.activity.detail.kind","","","",0,0,"","","","code {[]} {[]}
","Appointment | CommunicationRequest | DeviceRequest | MedicationRequest | NutritionOrder | Task | ServiceRequest | VisionPrescription","A description of the kind of resource the in-line definition of a care plan activity is representing.  The CarePlan.activity.detail is an in-line definition when a resource is not referenced using CarePlan.activity.reference.  For example, a MedicationRequest, a ServiceRequest, or a CommunicationRequest.","","May determine what types of extensions are permitted.","","","","","","","",,"required","Resource types defined as part of FHIR that can be represented as in-line definitions of a care plan activity.","http://hl7.org/fhir/ValueSet/care-plan-activity-kind|4.0.1","",,,,"CarePlan.activity.detail.kind",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"klgateway-ltt-care-plan","CarePlan.activity.detail.instantiatesCanonical","CarePlan.activity.detail.instantiatesCanonical","","","",0,0,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PlanDefinition], CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Questionnaire], CanonicalType[http://hl7.org/fhir/StructureDefinition/Measure], CanonicalType[http://hl7.org/fhir/StructureDefinition/OperationDefinition]]}
","Instantiates FHIR protocol or definition","The URL pointing to a FHIR-defined protocol, guideline, questionnaire or other definition that is adhered to in whole or in part by this CarePlan activity.","","Allows Questionnaires that the patient (or practitioner) should fill in to fulfill the care plan activity.","","","","","","","",,,,,"",,,,"CarePlan.activity.detail.instantiatesCanonical",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"klgateway-ltt-care-plan","CarePlan.activity.detail.instantiatesUri","CarePlan.activity.detail.instantiatesUri","","","",0,0,"","","","uri {[]} {[]}
","Instantiates external protocol or definition","The URL pointing to an externally maintained protocol, guideline, questionnaire or other definition that is adhered to in whole or in part by this CarePlan activity.","This might be an HTML page, PDF, etc. or could just be a non-resolvable URI identifier.","Allows Questionnaires that the patient (or practitioner) should fill in to fulfill the care plan activity.","","","","","","","",,,,,"",,,,"CarePlan.activity.detail.instantiatesUri",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"klgateway-ltt-care-plan","CarePlan.activity.detail.code","CarePlan.activity.detail.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","[DK] forløbskode","Detailed description of the type of planned activity; e.g. what lab test, what procedure, what kind of encounter.","Tends to be less relevant for activities involving particular products.  Codes should not convey negation - use ""prohibited"" instead.","Allows matching performed to planned as well as validation against protocols.","","","","","","","",,"required","","http://fhir.kl.dk/ltt/ValueSet/fkgateway-ltt-care-plan-activity-types","",,,,"CarePlan.activity.detail.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"klgateway-ltt-care-plan","CarePlan.activity.detail.code.id","CarePlan.activity.detail.code.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
